timestamp,L_hip_joint,L_hip2_joint,L_thigh_joint,L_calf_joint,L_toe_joint
1.19,0.0008594277314841747,-0.009713795967400074,-1.0711486339569092,1.8974804878234863,-0.8000006675720215
1.195,-0.010349595919251442,0.0015330534661188722,-1.067492127418518,1.8926352262496948,-0.8000006079673767
1.2,-0.0037579976487904787,0.001883486402221024,-1.064607858657837,1.8903158903121948,-0.8000006079673767
1.205,0.010324347764253616,-0.012460357509553432,-1.0612754821777344,1.8855311870574951,-0.8000006079673767
1.21,0.0009149315301328897,-0.009568683803081512,-1.0584830045700073,1.882891058921814,-0.8000006079673767
1.215,-0.010226571932435036,0.001311176223680377,-1.0549414157867432,1.8778918981552124,-0.8000005483627319
1.22,-0.0037321357522159815,0.0017597501864656806,-1.0521862506866455,1.8755035400390625,-0.8000005483627319
1.225,0.010251154191792011,-0.012111399322748184,-1.0489693880081177,1.870572566986084,-0.8000005483627319
1.23,0.0009570065885782242,-0.009418493136763573,-1.0463122129440308,1.8678760528564453,-0.8000005483627319
1.235,-0.01009193155914545,0.00109482416883111,-1.0428990125656128,1.8627325296401978,-0.8000004887580872
1.24,-0.0036950998473912477,0.0016338926507160068,-1.0402839183807373,1.8602840900421143,-0.8000004887580872
1.245,0.010162271559238434,-0.011770333163440228,-1.0371862649917603,1.8552173376083374,-0.8000004291534424
1.25,0.0009856089018285275,-0.009263425134122372,-1.0346630811691284,1.852472186088562,-0.8000004291534424
1.2550000000000001,-0.0099460668861866,0.000885764486156404,-1.0313739776611328,1.8471972942352295,-0.8000003695487976
1.26,-0.003646525554358959,0.0015073359245434403,-1.0288949012756348,1.8446979522705078,-0.8000003695487976
1.2650000000000001,0.010059574618935585,-0.011437647975981236,-1.0259147882461548,1.8395068645477295,-0.8000003099441528
1.27,0.0010006262455135584,-0.009104428812861443,-1.0235275030136108,1.836721420288086,-0.8000003099441528
1.2750000000000001,-0.00979124940931797,0.000684044323861599,-1.0203663110733032,1.831325650215149,-0.8000002503395081
1.28,-0.0035875877365469933,0.0013798893196508288,-1.0180273056030273,1.8287824392318726,-0.8000002503395081
1.285,0.00994446873664856,-0.011114981956779957,-1.0151684284210205,1.8234790563583374,-0.8000001907348633
1.29,0.001003130106255412,-0.008942276239395142,-1.0129187107086182,1.8206615447998047,-0.8000001907348633
1.295,-0.009627794846892357,0.0004908157861791551,-1.009885311126709,1.8151570558547974,-0.8000001311302185
1.3,-0.0035184386651962996,0.0012525971978902817,-1.0076861381530762,1.8125799894332886,-0.8000000715255737
1.305,0.009818300604820251,-0.010803047567605972,-1.0049480199813843,1.8071757555007935,-0.800000011920929
1.31,0.000993136316537857,-0.008778207004070282,-1.0028355121612549,1.8043339252471924,-0.800000011920929
1.315,-0.009457560256123543,0.00030589126981794834,-0.9999629855155945,1.7987236976623535,-0.7982301712036133
1.32,-0.003442391287535429,0.0011279894970357418,-0.9978163838386536,1.7960604429244995,-0.7981678247451782
1.325,0.009683826006948948,-0.010498411022126675,-0.9951220750808716,1.790499210357666,-0.7948941588401794
1.33,0.0009675314649939537,-0.008609309792518616,-0.9928848743438721,1.7875818014144897,-0.7948765158653259
1.335,-0.009309936314821243,0.00012674089521169662,-0.9898792505264282,1.7818117141723633,-0.7913398146629333
1.34,-0.0033825961872935295,0.0009944855701178312,-0.9876214265823364,1.7791388034820557,-0.7913687229156494
1.345,0.00954937282949686,-0.010209270752966404,-0.9849139451980591,1.7734777927398682,-0.7877457141876221
1.35,0.0009403133299201727,-0.008443400263786316,-0.9828166365623474,1.7705366611480713,-0.7877458333969116
1.355,-0.009164655581116676,-3.5893055610358715e-05,-0.9800555109977722,1.7646615505218506,-0.783859372138977
1.36,-0.0033169251400977373,0.0008724970975890756,-0.9780712127685547,1.7619338035583496,-0.7838941216468811
1.365,0.009410740807652473,-0.009930074214935303,-0.975587010383606,1.7561781406402588,-0.7799198627471924
1.37,0.0009036518167704344,-0.008274256251752377,-0.9736350774765015,1.753222107887268,-0.7799223065376282
1.375,-0.009015804156661034,-0.00018742465181276202,-0.9709373712539673,1.7472829818725586,-0.7757013440132141
1.3800000000000001,-0.003247298765927553,0.0007480363128706813,-0.9689740538597107,1.7445530891418457,-0.7757472395896912
1.385,0.00926297903060913,-0.009667925536632538,-0.9665078520774841,1.7387431859970093,-0.7714526653289795
1.3900000000000001,0.0008545347955077887,-0.008110016584396362,-0.9646239876747131,1.7357816696166992,-0.7714694738388062
1.395,-0.008868820033967495,-0.0003325879224576056,-0.9620504975318909,1.729772925376892,-0.7669364213943481
1.4000000000000001,-0.0031720479018986225,0.0006282419781200588,-0.9602559804916382,1.7270195484161377,-0.7669910788536072
1.405,0.009114415384829044,-0.009413336403667927,-0.9579642415046692,1.7211412191390991,-0.7623868584632874
1.41,0.0007995563792064786,-0.007943090051412582,-0.9562445878982544,1.7181689739227295,-0.7624080777168274
1.415,-0.008719046600162983,-0.00046580639900639653,-0.953801155090332,1.712105393409729,-0.7575747966766357
1.42,-0.003093134146183729,0.000509892066475004,-0.9521051645278931,1.7093505859375,-0.7576362490653992
1.425,0.008957941085100174,-0.009174692444503307,-0.9498845338821411,1.7034335136413574,-0.7527430057525635
1.43,0.0007331866072490811,-0.0077807847410440445,-0.9482417702674866,1.7004663944244385,-0.752773106098175
1.435,-0.008570974692702293,-0.000592716212850064,-0.9458919763565063,1.694361925125122,-0.7476616501808167
1.44,-0.0030103493481874466,0.00039497969555668533,-0.9443150162696838,1.6916062831878662,-0.7477319836616516
1.445,0.008800916373729706,-0.008945152163505554,-0.9422243237495422,1.6856491565704346,-0.7425665855407715
1.45,0.0006614446174353361,-0.007618722040206194,-0.940723717212677,1.6826825141906738,-0.7426027655601501
1.455,-0.00842232909053564,-0.00070967833744362,-0.9385108351707458,1.6765429973602295,-0.7372271418571472
1.46,-0.002925037406384945,0.0002831659512594342,-0.9370594024658203,1.673793077468872,-0.7373036742210388
1.465,0.008639493957161903,-0.00872921571135521,-0.9350728988647461,1.6678128242492676,-0.7318825721740723
1.47,0.0005819747457280755,-0.007460430730134249,-0.9336722493171692,1.6648608446121216,-0.7319253087043762
